0,Name,Charlotte,Surname,Morgan,House,D,Day,"[['sat', 'fri', 'tue']]",Pref,['Morning']
1,Name,Noah,Surname,Taylor,House,C,Day,"[['sat', 'thu', 'tue']]",Pref,['Afternoon']
2,Name,Michael,Surname,Wright,House,D,Day,"[['mon', 'thu', 'fri']]",Pref,['Morning']
3,Name,Amelia,Surname,Watson,House,B,Day,"[['mon', 'sat', 'thu']]",Pref,['Morning']
4,Name,Lucas,Surname,Taylor,House,D,Day,"[['thu', 'mon', 'sat']]",Pref,['Morning']
5,Name,Charlotte,Surname,Harris,House,D,Day,"[['fri', 'wed', 'tue']]",Pref,['Afternoon']
6,Name,Amelia,Surname,Thomas,House,A,Day,"[['sat', 'mon', 'wed']]",Pref,['Morning']
7,Name,Amelia,Surname,Thomas,House,D,Day,"[['fri', 'sat', 'thu']]",Pref,['Morning']
8,Name,Mia,Surname,Hughes,House,D,Day,"[['tue', 'sat', 'thu']]",Pref,['Afternoon']
9,Name,Noah,Surname,Johnson,House,C,Day,"[['fri', 'mon', 'tue']]",Pref,['Afternoon']
10,Name,William,Surname,Walker,House,C,Day,"[['wed', 'thu', 'fri']]",Pref,['Morning']
11,Name,Abigail,Surname,Martin,House,B,Day,"[['tue', 'fri', 'sat']]",Pref,['Morning']
12,Name,William,Surname,Brown,House,C,Day,"[['fri', 'wed', 'sat']]",Pref,['Afternoon']
13,Name,Emily,Surname,Morgan,House,B,Day,"[['wed', 'tue', 'mon']]",Pref,['Morning']
14,Name,Emily,Surname,Harris,House,B,Day,"[['sat', 'mon', 'tue']]",Pref,['Morning']
15,Name,Emily,Surname,King,House,D,Day,"[['sat', 'wed', 'fri']]",Pref,['Afternoon']
16,Name,James,Surname,Wood,House,D,Day,"[['mon', 'sat', 'fri']]",Pref,['Afternoon']
17,Name,Mason,Surname,Wright,House,D,Day,"[['tue', 'wed', 'sat']]",Pref,['Morning']
18,Name,Mason,Surname,Green,House,A,Day,"[['tue', 'wed', 'mon']]",Pref,['Afternoon']
19,Name,Lucas,Surname,King,House,D,Day,"[['wed', 'tue', 'mon']]",Pref,['Afternoon']
20,Name,Alexander,Surname,Robinson,House,C,Day,"[['fri', 'wed', 'sat']]",Pref,['Afternoon']
21,Name,Mason,Surname,Hughes,House,D,Day,"[['wed', 'mon', 'tue']]",Pref,['Morning']
22,Name,Ethan,Surname,King,House,D,Day,"[['wed', 'fri', 'tue']]",Pref,['Morning']
23,Name,Emily,Surname,Johnson,House,C,Day,"[['mon', 'sat', 'thu']]",Pref,['Afternoon']
24,Name,James,Surname,Green,House,A,Day,"[['thu', 'wed', 'fri']]",Pref,['Afternoon']
